[Name]
inlet

[Spatial Fields]
r

[Data]
r [ m ], Total Pressure [ Pa ], Total Temperature [ K ]
0.246,169258.58,305.86
0.2464,169443.5,305.86
0.2468,169474.17,305.73
0.2472,169506.36,305.78
0.2476,169498.39,305.81
0.248,169472.2,305.81
0.2484,169553.36,305.78
0.2492,169493.72,305.73
0.25,169552.92,305.78
0.2515,169729.61,305.7
0.2535,169457.73,305.78
0.2555,169472.53,305.78
0.2575,169488.64,305.78
0.26,169444.84,305.73
0.263,169514.59,305.81
0.266,169566.81,305.78
0.269,169550.16,305.78
0.2715,169626.41,305.78
0.2735,169522.64,305.7
0.276,169457.72,305.78
0.279,169422.38,305.73
0.282,169451.63,305.73
0.285,169517.08,305.73
0.2875,169496.08,305.7
0.2895,169436.45,305.78
0.2915,169415.08,305.73
0.2935,169397.05,305.73
0.295,169337.45,305.73
0.2958,169390.98,305.73
0.2966,169230.08,305.78
0.297,169272.36,305.73
0.2974,169022.45,305.78
0.2978,168959.59,305.73
0.2982,168869.39,305.78
0.2986,168708.41,305.73
0.299,168728.33,305.73
