[Name],
outlet,
,
[Spatial Fields],
r,
,
[Data],
r [ m ], Pressure [ Pa ]
2.45E-01,9.92E+04
2.46E-01,1.00E+05
2.47E-01,1.04E+05
2.48E-01,1.03E+05
2.49E-01,1.03E+05
2.51E-01,1.02E+05
2.52E-01,1.02E+05
2.53E-01,1.03E+05
2.54E-01,1.03E+05
2.55E-01,1.03E+05
2.56E-01,1.03E+05
2.57E-01,1.04E+05
2.58E-01,1.04E+05
2.60E-01,1.04E+05
2.61E-01,1.04E+05
2.62E-01,1.05E+05
2.63E-01,1.05E+05
2.64E-01,1.05E+05
2.65E-01,1.05E+05
2.66E-01,1.05E+05
2.67E-01,1.06E+05
2.69E-01,1.06E+05
2.70E-01,1.06E+05
2.71E-01,1.06E+05
2.72E-01,1.06E+05
2.73E-01,1.06E+05
2.74E-01,1.06E+05
2.75E-01,1.06E+05
2.76E-01,1.07E+05
2.78E-01,1.07E+05
2.79E-01,1.07E+05
2.80E-01,1.07E+05
2.81E-01,1.07E+05
2.82E-01,1.08E+05
2.83E-01,1.08E+05
2.84E-01,1.08E+05
2.85E-01,1.08E+05
2.87E-01,1.09E+05
2.88E-01,1.09E+05
2.89E-01,1.09E+05
2.90E-01,1.09E+05
2.91E-01,1.09E+05
2.92E-01,1.09E+05
2.93E-01,1.09E+05
2.94E-01,1.09E+05
2.96E-01,1.09E+05
2.97E-01,1.08E+05
2.98E-01,1.08E+05
2.99E-01,1.08E+05
3.00E-01,1.08E+05
